Source,Target
Monica,Chandler
Rachel,Monica
Rachel,Chandler
Monica,Chandler
Ross,Rachel
Ross,Monica
Ross,Chandler
Rachel,Monica
Joey,Rachel
Joey,Charlie
Rachel,Joey
Ross,Phoebe
Ross,Monica
Ross,Chandler
Ross,Rachel
Ross,Joey
Ross,ProfOberblau
Ross,Phoebe
Ross,Mike
Ross,Charlie
Phoebe,Monica
Phoebe,Mike
Phoebe,Chandler
Phoebe,Monica
Mike,Chandler
Mike,Monica
Chandler,Monica
Joey,Charlie
Monica,Phoebe
Monica,Chandler
Monica,Mike
Phoebe,Chandler
Phoebe,Mike
Chandler,Mike
Mike,Monica
Rachel,Joey
Rachel,Joey
Rachel,Joey
Rachel,Joey
Mike,Monica
Phoebe,Chandler
Mike,Monica
Mike,Phoebe
Mike,Monica
Chandler,Monica
Chandler,Phoebe
Chandler,Mike
Ross,ProfOberblau
NancyOberblau,ProfOberblau
Ross,Charlie
Ross,ProfKlarik
Charlie,ProfKlarik
Monica,Mike
Monica,Chandler
Mike,Chandler
Monica,Chandler
Phoebe,Mike
Ross,Charlie
Joey,Ross
Joey,Charlie
Joey,Rachel
